,number,value,datetime_start,datetime_complete,duration,params_n_features,params_patch_size,params_step_size,state
44,44,0.7411823778020861,2023-01-08 19:07:24.968278,2023-01-08 19:09:45.421345,0 days 00:02:20.453067,170,3,68,COMPLETE
45,45,0.7411823778020861,2023-01-08 19:07:29.541581,2023-01-08 19:09:39.899997,0 days 00:02:10.358416,114,3,69,COMPLETE
46,46,0.7411823778020861,2023-01-08 19:07:35.199965,2023-01-08 19:09:23.751230,0 days 00:01:48.551265,184,3,68,COMPLETE
47,47,0.7411823778020861,2023-01-08 19:08:04.897182,2023-01-08 19:10:08.798817,0 days 00:02:03.901635,193,3,55,COMPLETE
48,48,0.7411823778020861,2023-01-08 19:08:13.455311,2023-01-08 19:10:16.626633,0 days 00:02:03.171322,189,3,50,COMPLETE
49,49,0.7411823778020861,2023-01-08 19:08:19.222095,2023-01-08 19:10:38.374692,0 days 00:02:19.152597,209,3,51,COMPLETE
50,50,0.7411823778020861,2023-01-08 19:08:31.324213,2023-01-08 19:10:31.635112,0 days 00:02:00.310899,170,3,51,COMPLETE
51,51,0.7411823778020861,2023-01-08 19:09:23.880643,2023-01-08 19:11:39.414060,0 days 00:02:15.533417,169,3,51,COMPLETE
52,52,0.7411823778020861,2023-01-08 19:09:29.050125,2023-01-08 19:11:27.911875,0 days 00:01:58.861750,174,3,52,COMPLETE
53,53,0.7411823778020861,2023-01-08 19:09:40.191775,2023-01-08 19:11:52.256557,0 days 00:02:12.064782,114,3,53,COMPLETE
54,54,0.7411823778020861,2023-01-08 19:09:45.531563,2023-01-08 19:11:45.657325,0 days 00:02:00.125762,116,3,54,COMPLETE
55,55,0.7411823778020861,2023-01-08 19:10:08.880909,2023-01-08 19:12:20.740567,0 days 00:02:11.859658,127,3,50,COMPLETE
56,56,0.7411823778020861,2023-01-08 19:10:16.712259,2023-01-08 19:12:25.934834,0 days 00:02:09.222575,209,3,54,COMPLETE
57,57,0.7411823778020861,2023-01-08 19:10:31.719080,2023-01-08 19:12:34.018740,0 days 00:02:02.299660,210,3,48,COMPLETE
58,58,0.7411823778020861,2023-01-08 19:10:38.461512,2023-01-08 19:12:52.096360,0 days 00:02:13.634848,209,3,49,COMPLETE
59,59,0.7411823778020861,2023-01-08 19:11:28.019222,2023-01-08 19:13:30.743756,0 days 00:02:02.724534,218,3,65,COMPLETE
60,60,0.7411823778020861,2023-01-08 19:11:39.527698,2023-01-08 19:13:48.209390,0 days 00:02:08.681692,161,3,42,COMPLETE
61,61,0.7411823778020861,2023-01-08 19:11:45.753594,2023-01-08 19:13:42.265532,0 days 00:01:56.511938,224,3,65,COMPLETE
62,62,0.7411823778020861,2023-01-08 19:11:52.357744,2023-01-08 19:14:01.855636,0 days 00:02:09.497892,141,3,40,COMPLETE
63,63,0.7411823778020861,2023-01-08 19:12:20.873737,2023-01-08 19:14:32.502979,0 days 00:02:11.629242,127,3,70,COMPLETE
64,64,0.7411823778020861,2023-01-08 19:12:26.027371,2023-01-08 19:14:27.103082,0 days 00:02:01.075711,125,3,72,COMPLETE
65,65,0.7411823778020861,2023-01-08 19:12:34.114311,2023-01-08 19:14:46.225295,0 days 00:02:12.110984,125,3,70,COMPLETE
66,66,0.7411823778020861,2023-01-08 19:12:52.204601,2023-01-08 19:15:00.787341,0 days 00:02:08.582740,189,3,40,COMPLETE
67,67,0.7411823778020861,2023-01-08 19:13:30.836859,2023-01-08 19:15:43.666741,0 days 00:02:12.829882,195,3,44,COMPLETE
68,68,0.7411823778020861,2023-01-08 19:13:42.369266,2023-01-08 19:15:58.182819,0 days 00:02:15.813553,195,3,40,COMPLETE
69,69,0.7411823778020861,2023-01-08 19:13:48.291062,2023-01-08 19:15:52.795896,0 days 00:02:04.504834,198,3,40,COMPLETE
70,70,0.7411823778020861,2023-01-08 19:14:01.945568,2023-01-08 19:16:09.497185,0 days 00:02:07.551617,196,3,41,COMPLETE
71,71,0.7411823778020861,2023-01-08 19:14:27.418352,2023-01-08 19:16:43.939270,0 days 00:02:16.520918,198,3,36,COMPLETE
72,72,0.7411823778020861,2023-01-08 19:14:32.586243,2023-01-08 19:16:49.293605,0 days 00:02:16.707362,202,3,35,COMPLETE
73,73,0.7411823778020861,2023-01-08 19:14:46.321944,2023-01-08 19:17:03.799422,0 days 00:02:17.477478,201,3,34,COMPLETE
74,74,0.7368179975354875,2023-01-08 19:15:00.872130,2023-01-08 19:15:47.162973,0 days 00:00:46.290843,197,1,34,COMPLETE
75,75,0.7411823778020861,2023-01-08 19:15:43.914734,2023-01-08 19:17:48.130355,0 days 00:02:04.215621,201,3,45,COMPLETE
