,number,value,datetime_start,datetime_complete,duration,params_n_features,state
47,47,0.5452017857385913,2022-12-29 22:40:30.773197,2022-12-29 22:41:34.026841,0 days 00:01:03.253644,499,COMPLETE
48,48,0.5604032349919471,2022-12-29 22:40:38.939100,2022-12-29 22:41:43.259034,0 days 00:01:04.319934,505,COMPLETE
49,49,0.554915104783299,2022-12-29 22:40:48.346186,2022-12-29 22:41:51.915692,0 days 00:01:03.569506,511,COMPLETE
50,50,0.5572141243133757,2022-12-29 22:40:56.891554,2022-12-29 22:41:59.409130,0 days 00:01:02.517576,496,COMPLETE
51,51,0.5620656607184167,2022-12-29 22:41:05.127941,2022-12-29 22:42:08.404353,0 days 00:01:03.276412,628,COMPLETE
52,52,0.5616873748916725,2022-12-29 22:41:11.668001,2022-12-29 22:42:16.271425,0 days 00:01:04.603424,641,COMPLETE
53,53,0.5561032168462581,2022-12-29 22:41:18.989275,2022-12-29 22:42:24.182612,0 days 00:01:05.193337,616,COMPLETE
54,54,0.5499083711502732,2022-12-29 22:41:26.682199,2022-12-29 22:42:31.743942,0 days 00:01:05.061743,619,COMPLETE
55,55,0.5613668800666354,2022-12-29 22:41:34.035974,2022-12-29 22:42:39.369189,0 days 00:01:05.333215,638,COMPLETE
56,56,0.5716346614377714,2022-12-29 22:41:43.263227,2022-12-29 22:42:48.530761,0 days 00:01:05.267534,617,COMPLETE
57,57,0.5471184991322933,2022-12-29 22:41:51.917521,2022-12-29 22:42:56.835180,0 days 00:01:04.917659,624,COMPLETE
58,58,0.5620656607184167,2022-12-29 22:41:59.411121,2022-12-29 22:43:04.847017,0 days 00:01:05.435896,628,COMPLETE
59,59,0.5610500765153421,2022-12-29 22:42:08.408350,2022-12-29 22:43:13.818961,0 days 00:01:05.410611,752,COMPLETE
60,60,0.5466902440431991,2022-12-29 22:42:16.273820,2022-12-29 22:43:21.717640,0 days 00:01:05.443820,756,COMPLETE
61,61,0.5556368350824676,2022-12-29 22:42:24.183638,2022-12-29 22:43:29.766320,0 days 00:01:05.582682,761,COMPLETE
62,62,0.5662754709239707,2022-12-29 22:42:31.745581,2022-12-29 22:43:37.991476,0 days 00:01:06.245895,770,COMPLETE
63,63,0.5617402566675678,2022-12-29 22:42:39.370264,2022-12-29 22:43:46.239006,0 days 00:01:06.868742,769,COMPLETE
64,64,0.5538855549238499,2022-12-29 22:42:48.538333,2022-12-29 22:43:53.829023,0 days 00:01:05.290690,574,COMPLETE
65,65,0.577244518465722,2022-12-29 22:42:56.838164,2022-12-29 22:44:02.002776,0 days 00:01:05.164612,579,COMPLETE
66,66,0.5610500765153421,2022-12-29 22:43:04.848181,2022-12-29 22:44:10.628780,0 days 00:01:05.780599,752,COMPLETE
67,67,0.542245469723119,2022-12-29 22:43:13.819965,2022-12-29 22:44:18.533068,0 days 00:01:04.713103,582,COMPLETE
68,68,0.5731233737132696,2022-12-29 22:43:21.718767,2022-12-29 22:44:26.331767,0 days 00:01:04.613000,568,COMPLETE
69,69,0.5533439815404574,2022-12-29 22:43:29.767489,2022-12-29 22:44:34.030446,0 days 00:01:04.262957,589,COMPLETE
70,70,0.5566060942857873,2022-12-29 22:43:38.002239,2022-12-29 22:44:41.670390,0 days 00:01:03.668151,572,COMPLETE
71,71,0.5677060944384091,2022-12-29 22:43:46.272186,2022-12-29 22:44:50.308997,0 days 00:01:04.036811,571,COMPLETE
72,72,0.570228558253932,2022-12-29 22:43:53.831517,2022-12-29 22:44:59.860501,0 days 00:01:06.028984,664,COMPLETE
73,73,0.5569683185287275,2022-12-29 22:44:02.003778,2022-12-29 22:45:08.911378,0 days 00:01:06.907600,562,COMPLETE
74,74,0.45165399263799416,2022-12-29 22:44:10.629813,2022-12-29 22:45:11.634474,0 days 00:01:01.004661,139,COMPLETE
75,75,0.4452484494811588,2022-12-29 22:44:18.535653,2022-12-29 22:45:14.487141,0 days 00:00:55.951488,147,COMPLETE
