,number,value,datetime_start,datetime_complete,duration,params_C,params_gamma,params_kernel,params_probability,state
36,36,0.8514799552722895,2023-01-15 19:26:29.394540,2023-01-15 19:29:33.946452,0 days 00:03:04.551912,92.56032614841723,0.014231151581864951,RBF,True,COMPLETE
37,37,0.3004019511984329,2023-01-15 19:27:01.469099,2023-01-15 19:29:53.727021,0 days 00:02:52.257922,43.83324917914036,0.09765557363805591,RBF,True,COMPLETE
38,38,0.8409215242867989,2023-01-15 19:27:12.098611,2023-01-15 19:30:11.788616,0 days 00:02:59.690005,0.0162768593052514,0.05190002296931656,linear,True,COMPLETE
39,39,0.8428536156644981,2023-01-15 19:27:31.122929,2023-01-15 19:30:30.405434,0 days 00:02:59.282505,0.015255801424696009,0.02999488881736516,linear,True,COMPLETE
40,40,0.125,2023-01-15 19:28:35.856731,2023-01-15 19:30:49.376944,0 days 00:02:13.520213,0.01945955150696926,0.06408298294272077,RBF,True,COMPLETE
41,41,0.125,2023-01-15 19:28:42.355727,2023-01-15 19:31:08.801888,0 days 00:02:26.446161,0.018942688698775578,327.20562512069694,RBF,True,COMPLETE
42,42,0.125,2023-01-15 19:29:03.689525,2023-01-15 19:31:27.655548,0 days 00:02:23.966023,0.006941270163187706,527.6903016767221,RBF,True,COMPLETE
43,43,0.8482784148695188,2023-01-15 19:29:16.205493,2023-01-15 19:31:46.353963,0 days 00:02:30.148470,43.9771738477967,0.004677107088500373,RBF,True,COMPLETE
44,44,0.3288135004774021,2023-01-15 19:29:34.122246,2023-01-15 19:32:05.212378,0 days 00:02:31.090132,44.049945084208346,0.09472632428449024,RBF,True,COMPLETE
45,45,0.8340876726221209,2023-01-15 19:29:54.142066,2023-01-15 19:32:24.268690,0 days 00:02:30.126624,4.739110876252649,0.048286024799723465,RBF,True,COMPLETE
46,46,0.8612008727127533,2023-01-15 19:30:12.503831,2023-01-15 19:32:43.361765,0 days 00:02:30.857934,4.380442487942557,0.004454186007581258,RBF,True,COMPLETE
47,47,0.8513437930300058,2023-01-15 19:30:30.966172,2023-01-15 19:33:02.568786,0 days 00:02:31.602614,31.014181048648116,0.004665418684556118,RBF,True,COMPLETE
48,48,0.8476509077964041,2023-01-15 19:30:49.650866,2023-01-15 19:33:20.857586,0 days 00:02:31.206720,762.7737409413734,0.004715437055026581,RBF,True,COMPLETE
49,49,0.8547139667093999,2023-01-15 19:31:09.005572,2023-01-15 19:33:40.048424,0 days 00:02:31.042852,4.453783706514538,0.0044213877616589405,RBF,True,COMPLETE
50,50,0.8468387376364573,2023-01-15 19:31:27.799287,2023-01-15 19:33:59.262060,0 days 00:02:31.462773,34.50839696916071,0.0037955940497380737,RBF,True,COMPLETE
51,51,0.8519203858212727,2023-01-15 19:31:46.533954,2023-01-15 19:34:18.112814,0 days 00:02:31.578860,6.906509205147118,0.005704103971505721,RBF,True,COMPLETE
52,52,0.0,2023-01-15 19:32:05.369597,2023-01-15 19:34:36.687538,0 days 00:02:31.317941,5.494185996569488,0.005763720040322231,histogram_intersection,True,COMPLETE
53,53,0.0,2023-01-15 19:32:24.567017,2023-01-15 19:34:55.924764,0 days 00:02:31.357747,25.000926419281488,0.0037047774539834687,histogram_intersection,True,COMPLETE
54,54,0.8479906405706877,2023-01-15 19:32:43.573850,2023-01-15 19:35:15.550840,0 days 00:02:31.976990,18.300180001545804,0.004512930413542779,RBF,True,COMPLETE
55,55,0.0,2023-01-15 19:33:02.748977,2023-01-15 19:35:34.354098,0 days 00:02:31.605121,5.424690407098425,0.004944466582534876,histogram_intersection,True,COMPLETE
56,56,0.0,2023-01-15 19:33:21.022478,2023-01-15 19:35:53.732360,0 days 00:02:32.709882,18.652012807272378,0.4417506196860034,histogram_intersection,True,COMPLETE
57,57,0.0,2023-01-15 19:33:40.249910,2023-01-15 19:36:13.143436,0 days 00:02:32.893526,6.077605480670631,0.3099489262202204,histogram_intersection,True,COMPLETE
58,58,0.0,2023-01-15 19:33:59.423297,2023-01-15 19:36:32.406168,0 days 00:02:32.982871,7.607136786228567,0.006252375460688749,histogram_intersection,True,COMPLETE
59,59,0.0,2023-01-15 19:34:18.777875,2023-01-15 19:36:51.364147,0 days 00:02:32.586272,6.464614117112754,0.0010593704666350707,histogram_intersection,True,COMPLETE
60,60,0.8522576006204883,2023-01-15 19:34:37.253624,2023-01-15 19:37:10.342841,0 days 00:02:33.089217,16.637201601970872,0.001050979136388942,RBF,True,COMPLETE
61,61,0.8597924774161457,2023-01-15 19:34:56.562295,2023-01-15 19:37:29.628378,0 days 00:02:33.066083,7.408820131307163,0.02142082161882648,RBF,True,COMPLETE
