,number,value,datetime_start,datetime_complete,duration,params_n_clusters,params_normalization,state
54,54,0.8499458067572021,2023-01-15 18:23:59.317114,2023-01-15 18:26:31.810598,0 days 00:02:32.493484,,power,COMPLETE
55,55,0.8426817710037053,2023-01-15 18:24:17.815318,2023-01-15 18:26:50.569686,0 days 00:02:32.754368,,power,COMPLETE
56,56,0.8491312724971094,2023-01-15 18:24:38.603500,2023-01-15 18:27:09.874853,0 days 00:02:31.271353,,power,COMPLETE
57,57,0.8488034722884059,2023-01-15 18:24:57.381116,2023-01-15 18:27:28.973754,0 days 00:02:31.592638,,power,COMPLETE
58,58,0.8524421141417216,2023-01-15 18:25:15.587649,2023-01-15 18:27:47.913043,0 days 00:02:32.325394,,power,COMPLETE
59,59,0.8450319817537031,2023-01-15 18:25:35.137163,2023-01-15 18:28:07.673009,0 days 00:02:32.535846,,power,COMPLETE
60,60,0.8485734545478982,2023-01-15 18:25:53.276930,2023-01-15 18:28:27.170616,0 days 00:02:33.893686,,power,COMPLETE
61,61,0.8482560030456098,2023-01-15 18:26:12.849051,2023-01-15 18:28:46.142494,0 days 00:02:33.293443,,power,COMPLETE
62,62,0.8498544885406026,2023-01-15 18:26:32.022056,2023-01-15 18:29:04.925455,0 days 00:02:32.903399,,power,COMPLETE
63,63,0.8401295830441947,2023-01-15 18:26:50.781054,2023-01-15 18:29:23.963488,0 days 00:02:33.182434,,power,COMPLETE
64,64,0.8376398646358553,2023-01-15 18:27:10.049058,2023-01-15 18:29:43.032029,0 days 00:02:32.982971,,power,COMPLETE
65,65,0.8442987531939684,2023-01-15 18:27:29.217153,2023-01-15 18:30:01.845040,0 days 00:02:32.627887,,power,COMPLETE
66,66,0.8388254118456221,2023-01-15 18:27:48.109751,2023-01-15 18:30:20.908010,0 days 00:02:32.798259,,power,COMPLETE
67,67,0.8421584878255309,2023-01-15 18:28:07.906307,2023-01-15 18:30:39.640146,0 days 00:02:31.733839,,power,COMPLETE
68,68,0.8397971732384855,2023-01-15 18:28:27.447232,2023-01-15 18:30:59.097433,0 days 00:02:31.650201,,power,COMPLETE
69,69,0.8201552252539145,2023-01-15 18:28:46.361175,2023-01-15 18:31:18.356335,0 days 00:02:31.995160,,none,COMPLETE
70,70,0.8250051177347644,2023-01-15 18:29:05.119540,2023-01-15 18:31:37.175834,0 days 00:02:32.056294,,none,COMPLETE
71,71,0.8278005784464051,2023-01-15 18:29:24.365801,2023-01-15 18:31:56.132925,0 days 00:02:31.767124,,none,COMPLETE
72,72,0.8280021104434769,2023-01-15 18:29:44.000401,2023-01-15 18:32:15.072894,0 days 00:02:31.072493,,none,COMPLETE
73,73,0.8253075433792952,2023-01-15 18:30:01.987618,2023-01-15 18:32:34.392519,0 days 00:02:32.404901,,none,COMPLETE
74,74,0.8215775419202785,2023-01-15 18:30:21.381800,2023-01-15 18:32:53.191945,0 days 00:02:31.810145,,none,COMPLETE
75,75,0.8269705036403184,2023-01-15 18:30:40.066007,2023-01-15 18:33:12.263139,0 days 00:02:32.197132,,none,COMPLETE
76,76,0.8251665665400425,2023-01-15 18:30:59.352580,2023-01-15 18:33:30.891570,0 days 00:02:31.538990,,none,COMPLETE
77,77,0.8201000278156092,2023-01-15 18:31:18.708122,2023-01-15 18:33:50.099428,0 days 00:02:31.391306,,none,COMPLETE
78,78,0.8399484305909727,2023-01-15 18:31:37.560734,2023-01-15 18:34:09.461607,0 days 00:02:31.900873,,power,COMPLETE
79,79,0.8435148771603735,2023-01-15 18:31:56.336671,2023-01-15 18:34:28.407501,0 days 00:02:32.070830,,power,COMPLETE
80,80,0.8545202199976127,2023-01-15 18:32:15.461282,2023-01-15 18:34:47.418186,0 days 00:02:31.956904,,power,COMPLETE
81,81,0.8418426123159216,2023-01-15 18:32:34.573505,2023-01-15 18:35:06.595746,0 days 00:02:32.022241,,power,COMPLETE
82,82,0.8481571950033493,2023-01-15 18:32:53.448650,2023-01-15 18:35:25.474294,0 days 00:02:32.025644,,power,COMPLETE
83,83,0.8440662621788638,2023-01-15 18:33:12.470123,2023-01-15 18:35:45.264988,0 days 00:02:32.794865,,power,COMPLETE
84,84,0.84454501657872,2023-01-15 18:33:31.122714,2023-01-15 18:36:04.804340,0 days 00:02:33.681626,,power,COMPLETE
85,85,0.8379957459588466,2023-01-15 18:33:50.284236,2023-01-15 18:36:24.293855,0 days 00:02:34.009619,,power,COMPLETE
86,86,0.8439887491746265,2023-01-15 18:34:09.724918,2023-01-15 18:36:42.572265,0 days 00:02:32.847347,,power,COMPLETE
87,87,0.8435346614411655,2023-01-15 18:34:28.602349,2023-01-15 18:37:01.329045,0 days 00:02:32.726696,,power,COMPLETE
88,88,0.8505337919125597,2023-01-15 18:34:47.568835,2023-01-15 18:37:20.671833,0 days 00:02:33.102998,,power,COMPLETE
89,89,0.8432531813957235,2023-01-15 18:35:06.757780,2023-01-15 18:37:39.373843,0 days 00:02:32.616063,,power,COMPLETE
90,90,0.8460588103915206,2023-01-15 18:35:25.734357,2023-01-15 18:37:58.704652,0 days 00:02:32.970295,,power,COMPLETE
91,91,0.8443892438797995,2023-01-15 18:35:45.618534,2023-01-15 18:38:17.677164,0 days 00:02:32.058630,,power,COMPLETE
92,92,0.8425683125206375,2023-01-15 18:36:04.982976,2023-01-15 18:38:36.901126,0 days 00:02:31.918150,,power,COMPLETE
93,93,0.8436542490087919,2023-01-15 18:36:24.711686,2023-01-15 18:38:55.659677,0 days 00:02:30.947991,,power,COMPLETE
94,94,0.8397752095508103,2023-01-15 18:36:42.792182,2023-01-15 18:39:14.874262,0 days 00:02:32.082080,,power,COMPLETE
95,95,0.8420535036771624,2023-01-15 18:37:01.600161,2023-01-15 18:39:34.255956,0 days 00:02:32.655795,,power,COMPLETE
96,96,0.8429952168498144,2023-01-15 18:37:20.842968,2023-01-15 18:39:53.028281,0 days 00:02:32.185313,,power,COMPLETE
97,97,0.8394031157005492,2023-01-15 18:37:39.656090,2023-01-15 18:40:12.289383,0 days 00:02:32.633293,,power,COMPLETE
98,98,0.8455265210308511,2023-01-15 18:37:58.929659,2023-01-15 18:40:31.099944,0 days 00:02:32.170285,,power,COMPLETE
99,99,0.8432857361914412,2023-01-15 18:38:18.258413,2023-01-15 18:40:50.315718,0 days 00:02:32.057305,,power,COMPLETE
100,100,0.84792397099052,2023-01-15 18:38:37.092368,2023-01-15 18:41:09.065506,0 days 00:02:31.973138,,power,COMPLETE
101,101,0.8415678280031382,2023-01-15 18:38:55.830896,2023-01-15 18:41:28.497322,0 days 00:02:32.666426,,power,COMPLETE
102,102,0.8423485417329761,2023-01-15 18:39:15.085340,2023-01-15 18:41:47.419959,0 days 00:02:32.334619,,power,COMPLETE
103,103,0.8469944495499415,2023-01-15 18:39:34.610749,2023-01-15 18:42:06.829582,0 days 00:02:32.218833,,power,COMPLETE
104,104,,2023-01-15 18:39:53.207001,,,,power,RUNNING
105,105,,2023-01-15 18:40:12.460412,,,,power,RUNNING
106,106,,2023-01-15 18:40:31.373181,,,,power,RUNNING
107,107,,2023-01-15 18:40:50.491116,,,,power,RUNNING
108,108,,2023-01-15 18:41:09.363447,,,,power,RUNNING
109,109,,2023-01-15 18:41:28.799925,,,,l2,RUNNING
110,110,,2023-01-15 18:41:47.608633,,,,l2,RUNNING
