,number,value,datetime_start,datetime_complete,duration,params_spatial_pyramid,state
43,43,0.8289450887457624,2023-01-15 18:54:46.176464,2023-01-15 18:57:16.352645,0 days 00:02:30.176181,horizontal 2x1,COMPLETE
44,44,0.8336829428473278,2023-01-15 18:55:04.785354,2023-01-15 18:57:34.714162,0 days 00:02:29.928808,horizontal 2x1,COMPLETE
45,45,0.834130638129351,2023-01-15 18:55:23.483179,2023-01-15 18:57:53.288188,0 days 00:02:29.805009,horizontal 2x1,COMPLETE
46,46,0.8303861516671427,2023-01-15 18:55:43.064678,2023-01-15 18:58:11.387938,0 days 00:02:28.323260,horizontal 2x1,COMPLETE
47,47,0.8299795712339554,2023-01-15 18:56:00.670763,2023-01-15 18:58:30.263651,0 days 00:02:29.592888,horizontal 2x1,COMPLETE
48,48,0.8343683395001108,2023-01-15 18:56:20.549172,2023-01-15 18:58:48.600793,0 days 00:02:28.051621,horizontal 2x1,COMPLETE
49,49,0.8367204802275326,2023-01-15 18:56:39.503871,2023-01-15 18:59:07.002146,0 days 00:02:27.498275,horizontal 2x1,COMPLETE
50,50,0.8328733067063574,2023-01-15 18:56:58.909261,2023-01-15 18:59:25.305335,0 days 00:02:26.396074,horizontal 2x1,COMPLETE
51,51,0.8443832220909323,2023-01-15 18:57:16.509811,2023-01-15 18:59:44.501083,0 days 00:02:27.991272,vertical 1x4,COMPLETE
52,52,0.8449522394695006,2023-01-15 18:57:34.918602,2023-01-15 19:00:03.332011,0 days 00:02:28.413409,vertical 1x4,COMPLETE
53,53,0.8485976494244071,2023-01-15 18:57:53.479929,2023-01-15 19:00:22.091742,0 days 00:02:28.611813,vertical 1x4,COMPLETE
54,54,0.8421736187482262,2023-01-15 18:58:11.594462,2023-01-15 19:00:41.369998,0 days 00:02:29.775536,vertical 1x4,COMPLETE
55,55,0.8456778159399233,2023-01-15 18:58:30.473768,2023-01-15 19:00:59.950982,0 days 00:02:29.477214,vertical 1x4,COMPLETE
56,56,0.8430669195138046,2023-01-15 18:58:49.207520,2023-01-15 19:01:18.961660,0 days 00:02:29.754140,vertical 1x4,COMPLETE
57,57,0.8442389586831759,2023-01-15 18:59:07.209337,2023-01-15 19:01:37.708146,0 days 00:02:30.498809,vertical 1x4,COMPLETE
58,58,0.8416535989321489,2023-01-15 18:59:25.753858,2023-01-15 19:01:56.490048,0 days 00:02:30.736190,vertical 1x4,COMPLETE
59,59,0.844583464940681,2023-01-15 18:59:44.742069,2023-01-15 19:02:15.439699,0 days 00:02:30.697630,vertical 1x4,COMPLETE
60,60,0.8463893942167191,2023-01-15 19:00:03.545571,2023-01-15 19:02:34.423077,0 days 00:02:30.877506,vertical 1x4,COMPLETE
61,61,0.8433297048119209,2023-01-15 19:00:22.314427,2023-01-15 19:02:52.928702,0 days 00:02:30.614275,vertical 1x4,COMPLETE
62,62,0.8327721148955467,2023-01-15 19:00:41.678774,2023-01-15 19:03:12.118138,0 days 00:02:30.439364,2x2,COMPLETE
63,63,0.8407601979331986,2023-01-15 19:01:00.451525,2023-01-15 19:03:31.099384,0 days 00:02:30.647859,2x2,COMPLETE
64,64,0.8316744615909967,2023-01-15 19:01:19.147226,2023-01-15 19:03:49.150524,0 days 00:02:30.003298,2x2,COMPLETE
65,65,0.8321432634838004,2023-01-15 19:01:37.921870,2023-01-15 19:04:08.049367,0 days 00:02:30.127497,2x2,COMPLETE
66,66,0.8351880970044142,2023-01-15 19:01:56.708327,2023-01-15 19:04:26.444747,0 days 00:02:29.736420,2x2,COMPLETE
67,67,0.8302979791142471,2023-01-15 19:02:15.813406,2023-01-15 19:04:45.303488,0 days 00:02:29.490082,2x2,COMPLETE
68,68,0.8273510050800355,2023-01-15 19:02:34.628704,2023-01-15 19:05:03.998645,0 days 00:02:29.369941,2x2,COMPLETE
69,69,0.8358528570007897,2023-01-15 19:02:53.160000,2023-01-15 19:05:22.862695,0 days 00:02:29.702695,2x2,COMPLETE
70,70,0.83068182196014,2023-01-15 19:03:12.262758,2023-01-15 19:05:43.255121,0 days 00:02:30.992363,4x4,COMPLETE
71,71,0.828258589490855,2023-01-15 19:03:31.732371,2023-01-15 19:06:03.780214,0 days 00:02:32.047843,4x4,COMPLETE
72,72,0.8286198648659047,2023-01-15 19:03:49.504261,2023-01-15 19:06:23.307914,0 days 00:02:33.803653,4x4,COMPLETE
73,73,0.8341466107840929,2023-01-15 19:04:08.891152,2023-01-15 19:06:44.872056,0 days 00:02:35.980904,4x4,COMPLETE
74,74,0.8318567073691453,2023-01-15 19:04:26.658592,2023-01-15 19:07:06.034906,0 days 00:02:39.376314,4x4,COMPLETE
75,75,0.826893117660941,2023-01-15 19:04:45.463081,2023-01-15 19:07:26.011103,0 days 00:02:40.548022,4x4,COMPLETE
76,76,0.8389129975340422,2023-01-15 19:05:04.260174,2023-01-15 19:07:44.779567,0 days 00:02:40.519393,vertical 1x2,COMPLETE
77,77,0.8264308077007863,2023-01-15 19:05:23.050387,2023-01-15 19:08:06.396904,0 days 00:02:43.346517,4x4,COMPLETE
78,78,0.8455993341306064,2023-01-15 19:05:43.509018,2023-01-15 19:08:23.896069,0 days 00:02:40.387051,vertical 1x4,COMPLETE
79,79,0.8410203617744602,2023-01-15 19:06:03.972456,2023-01-15 19:08:42.223036,0 days 00:02:38.250580,vertical 1x2,COMPLETE
80,80,0.8389619328790353,2023-01-15 19:06:24.082398,2023-01-15 19:09:00.774017,0 days 00:02:36.691619,vertical 1x2,COMPLETE
81,81,0.8461536557148192,2023-01-15 19:06:45.044291,2023-01-15 19:09:20.201832,0 days 00:02:35.157541,vertical 1x4,COMPLETE
