,number,value,datetime_start,datetime_complete,duration,params_n_clusters,state
25,25,0.837351805696145,2023-01-15 16:19:38.952519,2023-01-15 16:20:08.248218,0 days 00:00:29.295699,694,COMPLETE
26,26,0.8273409730026848,2023-01-15 16:19:52.809395,2023-01-15 16:20:27.192804,0 days 00:00:34.383409,766,COMPLETE
27,27,0.8316586748502731,2023-01-15 16:20:08.968932,2023-01-15 16:20:43.624009,0 days 00:00:34.655077,746,COMPLETE
28,28,0.8323311376181355,2023-01-15 16:20:27.725210,2023-01-15 16:20:53.497949,0 days 00:00:25.772739,556,COMPLETE
29,29,0.8242610115856683,2023-01-15 16:20:43.793690,2023-01-15 16:21:04.887897,0 days 00:00:21.094207,518,COMPLETE
30,30,0.8188053167116383,2023-01-15 16:20:54.207601,2023-01-15 16:21:14.658024,0 days 00:00:20.450423,479,COMPLETE
31,31,0.8259120003915484,2023-01-15 16:21:05.578665,2023-01-15 16:21:43.168622,0 days 00:00:37.589957,845,COMPLETE
32,32,0.8345492184038157,2023-01-15 16:21:15.003147,2023-01-15 16:21:59.567763,0 days 00:00:44.564616,830,COMPLETE
33,33,0.8426217501236982,2023-01-15 16:21:43.440893,2023-01-15 16:22:14.519421,0 days 00:00:31.078528,678,COMPLETE
34,34,0.8341273753305535,2023-01-15 16:21:59.814847,2023-01-15 16:22:30.443510,0 days 00:00:30.628663,677,COMPLETE
35,35,0.816722486547094,2023-01-15 16:22:15.389702,2023-01-15 16:22:46.174431,0 days 00:00:30.784729,683,COMPLETE
36,36,0.8413992920749609,2023-01-15 16:22:30.991883,2023-01-15 16:23:01.428552,0 days 00:00:30.436669,704,COMPLETE
37,37,0.8291985456403805,2023-01-15 16:22:46.427886,2023-01-15 16:23:14.873284,0 days 00:00:28.445398,590,COMPLETE
38,38,0.835449190830168,2023-01-15 16:23:01.752259,2023-01-15 16:23:45.991271,0 days 00:00:44.239012,919,COMPLETE
39,39,0.8338744930392034,2023-01-15 16:23:15.167083,2023-01-15 16:24:11.645850,0 days 00:00:56.478767,931,COMPLETE
40,40,0.8295287282047322,2023-01-15 16:23:46.632170,2023-01-15 16:24:33.432060,0 days 00:00:46.799890,1020,COMPLETE
41,41,0.8271595563242222,2023-01-15 16:24:12.257610,2023-01-15 16:24:48.646716,0 days 00:00:36.389106,766,COMPLETE
42,42,0.8307709343216031,2023-01-15 16:24:34.331943,2023-01-15 16:24:55.481685,0 days 00:00:21.149742,431,COMPLETE
43,43,0.8313183086979741,2023-01-15 16:24:49.349876,2023-01-15 16:25:04.159697,0 days 00:00:14.809821,406,COMPLETE
44,44,0.8311156381768017,2023-01-15 16:24:55.634945,2023-01-15 16:25:19.378624,0 days 00:00:23.743679,583,COMPLETE
45,45,0.8336153315431554,2023-01-15 16:25:04.766402,2023-01-15 16:25:38.337542,0 days 00:00:33.571140,720,COMPLETE
46,46,0.8234076979082798,2023-01-15 16:25:19.949386,2023-01-15 16:25:55.719264,0 days 00:00:35.769878,725,COMPLETE
47,47,0.837806186184954,2023-01-15 16:25:38.702528,2023-01-15 16:26:16.665659,0 days 00:00:37.963131,838,COMPLETE
48,48,0.8318740486057468,2023-01-15 16:25:55.977084,2023-01-15 16:26:37.284896,0 days 00:00:41.307812,836,COMPLETE
49,49,0.8328068529065777,2023-01-15 16:26:16.892277,2023-01-15 16:26:58.753307,0 days 00:00:41.861030,854,COMPLETE
50,50,0.8280907249067511,2023-01-15 16:26:37.542267,2023-01-15 16:27:15.581395,0 days 00:00:38.039128,781,COMPLETE
51,51,0.820277183753541,2023-01-15 16:26:58.986156,2023-01-15 16:27:19.191627,0 days 00:00:20.205471,285,COMPLETE
52,52,0.8310701181533906,2023-01-15 16:27:15.718668,2023-01-15 16:27:36.510162,0 days 00:00:20.791494,622,COMPLETE
53,53,0.8330202496789532,2023-01-15 16:27:19.387786,2023-01-15 16:27:49.030735,0 days 00:00:29.642949,629,COMPLETE
54,54,0.752608871012401,2023-01-15 16:27:36.780867,2023-01-15 16:27:52.429416,0 days 00:00:15.648549,30,COMPLETE
55,55,0.8291723117494,2023-01-15 16:27:49.140847,2023-01-15 16:28:25.466466,0 days 00:00:36.325619,886,COMPLETE
56,56,0.8345276036755314,2023-01-15 16:27:52.566593,2023-01-15 16:28:46.441691,0 days 00:00:53.875098,886,COMPLETE
57,57,0.8349599668449684,2023-01-15 16:28:25.716099,2023-01-15 16:29:04.906663,0 days 00:00:39.190564,795,COMPLETE
58,58,0.829634861582082,2023-01-15 16:28:46.651157,2023-01-15 16:29:31.002977,0 days 00:00:44.351820,986,COMPLETE
59,59,0.8297463901364468,2023-01-15 16:29:05.223908,2023-01-15 16:29:44.638033,0 days 00:00:39.414125,679,COMPLETE
60,60,0.8300910082141046,2023-01-15 16:29:31.376473,2023-01-15 16:30:00.696281,0 days 00:00:29.319808,693,COMPLETE
61,61,0.8311461753054017,2023-01-15 16:29:44.856914,2023-01-15 16:30:17.859100,0 days 00:00:33.002186,710,COMPLETE
62,62,0.8397068643281458,2023-01-15 16:30:00.941600,2023-01-15 16:30:37.553253,0 days 00:00:36.611653,796,COMPLETE
63,63,0.8300465081235519,2023-01-15 16:30:18.124031,2023-01-15 16:30:57.868893,0 days 00:00:39.744862,799,COMPLETE
64,64,0.8399216283494029,2023-01-15 16:30:37.918958,2023-01-15 16:31:23.193034,0 days 00:00:45.274076,956,COMPLETE
65,65,0.8378534463144411,2023-01-15 16:30:58.745937,2023-01-15 16:31:50.289838,0 days 00:00:51.543901,961,COMPLETE
66,66,0.8345363461145192,2023-01-15 16:31:23.993060,2023-01-15 16:32:19.938294,0 days 00:00:55.945234,991,COMPLETE
67,67,0.8395929858004643,2023-01-15 16:31:51.369191,2023-01-15 16:32:46.199113,0 days 00:00:54.829922,960,COMPLETE
68,68,0.8288118681607941,2023-01-15 16:32:20.271999,2023-01-15 16:33:07.047222,0 days 00:00:46.775223,955,COMPLETE
69,69,0.8318054069183883,2023-01-15 16:32:47.044459,2023-01-15 16:33:36.231995,0 days 00:00:49.187536,964,COMPLETE
70,70,0.8287311616321025,2023-01-15 16:33:07.270691,2023-01-15 16:33:52.819923,0 days 00:00:45.549232,873,COMPLETE
71,71,0.8336530398664216,2023-01-15 16:33:36.814698,2023-01-15 16:34:17.110225,0 days 00:00:40.295527,899,COMPLETE
72,72,0.8371583365158388,2023-01-15 16:33:53.148148,2023-01-15 16:34:49.378312,0 days 00:00:56.230164,1024,COMPLETE
73,73,0.8342826074606633,2023-01-15 16:34:17.369080,2023-01-15 16:34:53.230414,0 days 00:00:35.861334,521,COMPLETE
74,74,0.8319165684379625,2023-01-15 16:34:49.544720,2023-01-15 16:35:06.765908,0 days 00:00:17.221188,523,COMPLETE
75,75,0.8389534915748174,2023-01-15 16:34:53.957010,2023-01-15 16:35:36.485493,0 days 00:00:42.528483,925,COMPLETE
76,76,0.8308481432891744,2023-01-15 16:35:07.781017,2023-01-15 16:36:03.898659,0 days 00:00:56.117642,942,COMPLETE
77,77,0.8340572409285174,2023-01-15 16:35:36.867962,2023-01-15 16:36:25.572681,0 days 00:00:48.704719,927,COMPLETE
78,78,0.8447981368134746,2023-01-15 16:36:04.145768,2023-01-15 16:36:47.253365,0 days 00:00:43.107597,815,COMPLETE
79,79,0.835209967888359,2023-01-15 16:36:26.138550,2023-01-15 16:37:01.572594,0 days 00:00:35.434044,759,COMPLETE
80,80,0.8503027537777154,2023-01-15 16:36:48.036571,2023-01-15 16:37:21.121487,0 days 00:00:33.084916,798,COMPLETE
81,81,0.8360244401564927,2023-01-15 16:37:01.813220,2023-01-15 16:37:40.628418,0 days 00:00:38.815198,801,COMPLETE
82,82,0.8394684206408589,2023-01-15 16:37:21.359862,2023-01-15 16:37:59.000327,0 days 00:00:37.640465,805,COMPLETE
83,83,0.8291423131980814,2023-01-15 16:37:40.804647,2023-01-15 16:38:16.272075,0 days 00:00:35.467428,738,COMPLETE
84,84,0.8360322331768814,2023-01-15 16:37:59.202470,2023-01-15 16:38:32.897719,0 days 00:00:33.695249,740,COMPLETE
85,85,0.8456216904008123,2023-01-15 16:38:16.854147,2023-01-15 16:38:55.314140,0 days 00:00:38.459993,864,COMPLETE
86,86,0.8296187134302567,2023-01-15 16:38:33.502376,2023-01-15 16:39:16.308727,0 days 00:00:42.806351,863,COMPLETE
87,87,0.8386403545498619,2023-01-15 16:38:55.548125,2023-01-15 16:39:36.957462,0 days 00:00:41.409337,856,COMPLETE
88,88,0.8310489039277705,2023-01-15 16:39:16.787868,2023-01-15 16:39:51.539268,0 days 00:00:34.751400,654,COMPLETE
89,89,0.8377271776851247,2023-01-15 16:39:37.534509,2023-01-15 16:40:12.887944,0 days 00:00:35.353435,823,COMPLETE
90,90,0.8321300788764047,2023-01-15 16:39:51.824548,2023-01-15 16:40:31.701898,0 days 00:00:39.877350,817,COMPLETE
91,91,0.8374215023301614,2023-01-15 16:40:13.636976,2023-01-15 16:40:50.059806,0 days 00:00:36.422830,774,COMPLETE
92,92,0.8365702290336158,2023-01-15 16:40:31.959565,2023-01-15 16:41:08.500038,0 days 00:00:36.540473,778,COMPLETE
93,93,0.8270953014990041,2023-01-15 16:40:50.594510,2023-01-15 16:41:22.351050,0 days 00:00:31.756540,648,COMPLETE
94,94,0.839441852946474,2023-01-15 16:41:08.733308,2023-01-15 16:41:48.891188,0 days 00:00:40.157880,903,COMPLETE
95,95,0.837378144825597,2023-01-15 16:41:22.716504,2023-01-15 16:42:23.425873,0 days 00:01:00.709369,997,COMPLETE
96,96,0.8341489442914372,2023-01-15 16:41:49.694721,2023-01-15 16:42:49.657843,0 days 00:00:59.963122,991,COMPLETE
97,97,0.8370994333096391,2023-01-15 16:42:23.790744,2023-01-15 16:43:09.140931,0 days 00:00:45.350187,879,COMPLETE
98,98,0.8364779068651128,2023-01-15 16:42:49.992052,2023-01-15 16:43:30.884471,0 days 00:00:40.892419,879,COMPLETE
99,99,0.8289894765711068,2023-01-15 16:43:09.366747,2023-01-15 16:43:50.925541,0 days 00:00:41.558794,840,COMPLETE
100,100,0.8301077786662692,2023-01-15 16:43:31.123918,2023-01-15 16:44:15.305475,0 days 00:00:44.181557,912,COMPLETE
101,101,0.833008923855369,2023-01-15 16:43:51.125141,2023-01-15 16:44:38.106208,0 days 00:00:46.981067,903,COMPLETE
102,102,0.8354584507448767,2023-01-15 16:44:15.515595,2023-01-15 16:44:53.781617,0 days 00:00:38.266022,723,COMPLETE
103,103,0.8310595111125668,2023-01-15 16:44:38.301830,2023-01-15 16:45:09.763652,0 days 00:00:31.461822,712,COMPLETE
104,104,0.8348818211738198,2023-01-15 16:44:53.937362,2023-01-15 16:45:23.138453,0 days 00:00:29.201091,607,COMPLETE
105,105,0.8364963446854572,2023-01-15 16:45:09.901540,2023-01-15 16:45:43.822962,0 days 00:00:33.921422,795,COMPLETE
106,106,0.8481857290383588,2023-01-15 16:45:23.418793,2023-01-15 16:46:02.862974,0 days 00:00:39.444181,798,COMPLETE
107,107,0.8424438118826385,2023-01-15 16:45:44.680655,2023-01-15 16:46:26.342278,0 days 00:00:41.661623,815,COMPLETE
108,108,0.8263493824730904,2023-01-15 16:46:03.281565,2023-01-15 16:46:42.994376,0 days 00:00:39.712811,828,COMPLETE
109,109,0.8294757623001379,2023-01-15 16:46:27.202332,2023-01-15 16:47:01.565928,0 days 00:00:34.363596,826,COMPLETE
110,110,0.8284799656125852,2023-01-15 16:46:43.230684,2023-01-15 16:47:05.021894,0 days 00:00:21.791210,313,COMPLETE
111,111,0.8418778016163501,2023-01-15 16:47:01.696324,2023-01-15 16:47:27.006729,0 days 00:00:25.310405,752,COMPLETE
112,112,0.8366311178557935,2023-01-15 16:47:05.428402,2023-01-15 16:47:45.332929,0 days 00:00:39.904527,761,COMPLETE
113,113,0.8379574702440786,2023-01-15 16:47:27.548618,2023-01-15 16:48:02.112840,0 days 00:00:34.564222,759,COMPLETE
114,114,0.8286097774883086,2023-01-15 16:47:45.928517,2023-01-15 16:48:17.871370,0 days 00:00:31.942853,699,COMPLETE
115,115,0.8291906467410344,2023-01-15 16:48:02.417007,2023-01-15 16:48:32.539102,0 days 00:00:30.122095,667,COMPLETE
116,116,0.8329886741605405,2023-01-15 16:48:18.571832,2023-01-15 16:48:55.759906,0 days 00:00:37.188074,852,COMPLETE
117,117,0.8360011628724344,2023-01-15 16:48:32.853842,2023-01-15 16:49:11.750829,0 days 00:00:38.896987,852,COMPLETE
