,number,value,datetime_start,datetime_complete,duration,params_n_clusters,state
0,0,,2023-01-15 15:58:08.102962,,,129,RUNNING
1,1,,2023-01-15 15:58:08.127060,,,648,RUNNING
2,2,,2023-01-15 15:58:08.148353,,,585,RUNNING
3,3,,2023-01-15 15:58:08.172511,,,1004,RUNNING
4,4,,2023-01-15 15:58:08.172091,,,590,RUNNING
5,5,,2023-01-15 15:58:08.211098,,,817,RUNNING
6,6,,2023-01-15 15:58:08.212359,,,471,RUNNING
7,7,,2023-01-15 15:58:08.257239,,,423,RUNNING
8,8,,2023-01-15 16:03:28.819656,,,862,RUNNING
9,9,,2023-01-15 16:03:28.842824,,,567,RUNNING
10,10,0.841442698107586,2023-01-15 16:14:18.753116,2023-01-15 16:14:49.826097,0 days 00:00:31.072981,878,COMPLETE
11,11,0.829792694262369,2023-01-15 16:14:18.777222,2023-01-15 16:14:52.450453,0 days 00:00:33.673231,326,COMPLETE
12,12,0.8294967656716403,2023-01-15 16:14:50.014083,2023-01-15 16:15:16.107587,0 days 00:00:26.093504,825,COMPLETE
13,13,0.804216122240924,2023-01-15 16:14:52.598452,2023-01-15 16:15:18.159280,0 days 00:00:25.560828,116,COMPLETE
14,14,,2023-01-15 16:16:18.013107,2023-01-15 16:16:18.069479,0 days 00:00:00.056372,374,FAIL
15,15,,2023-01-15 16:16:18.035768,2023-01-15 16:16:18.161473,0 days 00:00:00.125705,229,FAIL
16,16,,2023-01-15 16:16:55.503665,2023-01-15 16:17:03.578368,0 days 00:00:08.074703,1,FAIL
17,17,0.8329837084465724,2023-01-15 16:16:55.504155,2023-01-15 16:17:20.588040,0 days 00:00:25.083885,642,COMPLETE
18,18,0.800735790891491,2023-01-15 16:17:44.715361,2023-01-15 16:17:54.080365,0 days 00:00:09.365004,94,COMPLETE
19,19,0.8351074426961599,2023-01-15 16:17:44.715950,2023-01-15 16:18:24.054963,0 days 00:00:39.339013,917,COMPLETE
20,20,0.8091035908059648,2023-01-15 16:17:54.375943,2023-01-15 16:18:24.723337,0 days 00:00:30.347394,203,COMPLETE
21,21,0.827018355163669,2023-01-15 16:18:24.159977,2023-01-15 16:18:36.557858,0 days 00:00:12.397881,381,COMPLETE
22,22,0.8247674955751922,2023-01-15 16:18:25.240031,2023-01-15 16:19:19.983023,0 days 00:00:54.742992,1022,COMPLETE
23,23,0.8369269950067117,2023-01-15 16:18:37.254262,2023-01-15 16:19:38.734233,0 days 00:01:01.479971,943,COMPLETE
24,24,0.8350741742388352,2023-01-15 16:19:20.829809,2023-01-15 16:19:52.583164,0 days 00:00:31.753355,642,COMPLETE
