,number,value,datetime_start,datetime_complete,duration,params_C,params_dimensionality_reduction,params_gamma,params_kernel,params_n_clusters,params_n_components_LDA,params_n_components_PCA,params_n_features,params_normalization,params_probability,params_spatial_pyramid,params_step_size,state
151,151,0.8380721725981086,2023-01-15 15:22:11.278439,2023-01-15 15:23:26.268321,0 days 00:01:14.989882,0.037228290609815674,PCA,0.014956042660617336,linear,804,,65.0,167,l2,True,vertical 1x4,18,COMPLETE
152,152,0.83457129144495,2023-01-15 15:22:45.585021,2023-01-15 15:24:03.092966,0 days 00:01:17.507945,0.023496038606903788,PCA,0.01665979892311846,linear,809,,65.0,187,l2,True,vertical 1x4,18,COMPLETE
153,153,0.836152289422835,2023-01-15 15:23:26.368886,2023-01-15 15:24:41.019776,0 days 00:01:14.650890,0.021851849101138972,PCA,0.014616629896348193,linear,804,,67.0,184,l2,True,vertical 1x4,18,COMPLETE
154,154,0.8385432801858224,2023-01-15 15:24:03.197039,2023-01-15 15:25:15.077313,0 days 00:01:11.880274,0.03509126857667814,PCA,0.013094255554299567,linear,747,,70.0,182,l2,True,vertical 1x4,17,COMPLETE
155,155,0.8307731866382738,2023-01-15 15:24:41.109895,2023-01-15 15:25:50.462337,0 days 00:01:09.352442,0.03461873487708635,PCA,0.020570927525719786,linear,755,,69.0,166,l2,True,vertical 1x4,17,COMPLETE
156,156,0.8356376770170615,2023-01-15 15:25:15.173072,2023-01-15 15:26:34.313121,0 days 00:01:19.140049,0.038189344420848204,PCA,0.010817780996331586,linear,749,,65.0,167,l2,True,vertical 1x4,17,COMPLETE
157,157,0.832485711163535,2023-01-15 15:25:50.550769,2023-01-15 15:27:01.759334,0 days 00:01:11.208565,0.014395458895498503,PCA,0.008096706192405186,linear,878,,66.0,182,l2,True,vertical 1x4,17,COMPLETE
158,158,0.8330034256213684,2023-01-15 15:26:34.456256,2023-01-15 15:27:51.270838,0 days 00:01:16.814582,0.013491488674467509,PCA,0.008896487107153716,linear,867,,70.0,183,l2,True,vertical 1x4,18,COMPLETE
159,159,0.8364413174238197,2023-01-15 15:27:01.851443,2023-01-15 15:28:19.940629,0 days 00:01:18.089186,0.018656179430934512,PCA,0.004472865380358825,linear,835,,74.0,156,l2,True,vertical 1x4,18,COMPLETE
160,160,0.7839961458160976,2023-01-15 15:27:51.368283,2023-01-15 15:29:02.916374,0 days 00:01:11.548091,8.346400923750075,PCA,0.004699832283706522,linear,795,,68.0,161,l2,True,horizontal 3x1,18,COMPLETE
161,161,0.8257362549867826,2023-01-15 15:28:20.036300,2023-01-15 15:29:17.519746,0 days 00:00:57.483446,0.04717140009345081,PCA,0.017644050070809752,linear,490,,74.0,161,l2,True,vertical 1x4,16,COMPLETE
162,162,0.8332369368955961,2023-01-15 15:29:03.007316,2023-01-15 15:30:07.022021,0 days 00:01:04.014705,0.020174885765564966,PCA,0.09491036920133447,linear,833,,76.0,159,l2,True,vertical 1x4,18,COMPLETE
163,163,0.8379846201651615,2023-01-15 15:29:17.605746,2023-01-15 15:30:42.906193,0 days 00:01:25.300447,0.018613381135505598,PCA,0.09570308639837569,linear,839,,71.0,155,l2,True,vertical 1x4,18,COMPLETE
164,164,0.8295012341268112,2023-01-15 15:30:07.120121,2023-01-15 15:31:22.604721,0 days 00:01:15.484600,0.028622143737791605,PCA,0.03149086413017585,linear,853,,70.0,176,l2,True,vertical 1x4,17,COMPLETE
165,165,0.8252847252795863,2023-01-15 15:30:43.007672,2023-01-15 15:31:58.191611,0 days 00:01:15.183939,0.02908872687514363,PCA,0.02419761762955581,linear,854,,68.0,150,l2,True,vertical 1x4,17,COMPLETE
166,166,0.8294482013948595,2023-01-15 15:31:22.693554,2023-01-15 15:32:33.713010,0 days 00:01:11.019456,0.034642709298838587,PCA,0.0530395627408987,linear,771,,72.0,169,l2,True,2x2,18,COMPLETE
167,167,0.8356560505380536,2023-01-15 15:31:58.279444,2023-01-15 15:33:15.760036,0 days 00:01:17.480592,0.06702189447097841,PCA,0.049575430056163376,linear,770,,61.0,201,l2,True,vertical 1x4,18,COMPLETE
168,168,0.8288859188985394,2023-01-15 15:32:33.805060,2023-01-15 15:33:46.657205,0 days 00:01:12.852145,0.04700338192675917,PCA,0.1171775079865885,linear,807,,65.0,189,l2,True,vertical 1x4,18,COMPLETE
169,169,0.8126743785768532,2023-01-15 15:33:15.852724,2023-01-15 15:34:06.997229,0 days 00:00:51.144505,0.052037811906410575,PCA,0.109704318713564,linear,807,,67.0,188,l2,True,vertical 1x4,9,COMPLETE
170,170,0.8223655374096912,2023-01-15 15:33:46.745082,2023-01-15 15:35:20.898594,0 days 00:01:34.153512,0.023060566384345133,PCA,0.012494242002404718,linear,729,,78.0,181,l2,True,horizontal 4x1,17,COMPLETE
171,171,0.8193270507926321,2023-01-15 15:34:07.096104,2023-01-15 15:35:24.794797,0 days 00:01:17.698693,0.025102459451099964,PCA,0.012618910010343825,linear,889,,71.0,180,l2,True,horizontal 4x1,17,COMPLETE
172,172,0.8259206694028857,2023-01-15 15:35:21.036265,2023-01-15 15:36:48.709146,0 days 00:01:27.672881,0.017958624668034672,PCA,0.005765533342407247,linear,828,,74.0,154,l2,True,vertical 1x4,18,COMPLETE
173,173,0.8380128970465563,2023-01-15 15:35:24.890704,2023-01-15 15:36:52.110400,0 days 00:01:27.219696,0.01853715879743982,PCA,0.004805257722274079,linear,819,,74.0,154,l2,True,vertical 1x4,18,COMPLETE
174,174,0.8301654751743474,2023-01-15 15:36:48.823542,2023-01-15 15:38:23.756698,0 days 00:01:34.933156,0.011417948337522184,PCA,0.0194781441525991,linear,839,,69.0,193,l2,True,vertical 1x4,18,COMPLETE
175,175,0.8296554528170612,2023-01-15 15:36:52.196515,2023-01-15 15:37:57.863754,0 days 00:01:05.667239,0.011366119716223817,PCA,0.00793203891377529,linear,877,,69.0,134,l2,True,vertical 1x4,18,COMPLETE
176,176,0.0,2023-01-15 15:37:58.042250,2023-01-15 15:39:10.203285,0 days 00:01:12.161035,0.04265826132239811,PCA,0.020192197133190933,histogram_intersection,824,,64.0,193,l2,True,vertical 1x3,17,COMPLETE
177,177,0.0,2023-01-15 15:38:23.860307,2023-01-15 15:39:34.792987,0 days 00:01:10.932680,0.0354649631835492,PCA,0.0037578001931105423,histogram_intersection,788,,64.0,145,l2,True,vertical 1x3,17,COMPLETE
178,178,0.8300476186222705,2023-01-15 15:39:10.380959,2023-01-15 15:40:12.765728,0 days 00:01:02.384769,0.03583804187889475,PCA,0.07761892446187084,linear,788,,72.0,176,l2,True,vertical 1x4,16,COMPLETE
179,179,0.8229174934616967,2023-01-15 15:39:34.886345,2023-01-15 15:40:40.217325,0 days 00:01:05.330980,0.06271978863125346,PCA,0.06765136043242809,linear,854,,77.0,163,l2,True,vertical 1x4,16,COMPLETE
180,180,0.8404633101030807,2023-01-15 15:40:12.857780,2023-01-15 15:41:27.123466,0 days 00:01:14.265686,0.07230789722523427,PCA,0.008906705496504165,linear,856,,67.0,164,l2,True,vertical 1x4,19,COMPLETE
181,181,0.8436619250325851,2023-01-15 15:40:40.311416,2023-01-15 15:42:21.560401,0 days 00:01:41.248985,0.015544495065902877,PCA,0.00913910458394217,linear,808,,67.0,170,l2,True,vertical 1x4,19,COMPLETE
182,182,0.8345030323605789,2023-01-15 15:41:27.224424,2023-01-15 15:42:45.709834,0 days 00:01:18.485410,0.08912497576041588,PCA,0.01004981952758509,linear,870,,67.0,171,l2,True,vertical 1x4,19,COMPLETE
183,183,0.7936185025772338,2023-01-15 15:42:21.709204,2023-01-15 15:43:41.335113,0 days 00:01:19.625909,0.016245211018114512,PCA,0.009954446782883935,linear,864,,12.0,170,l2,True,vertical 1x4,19,COMPLETE
184,184,0.8324430521454312,2023-01-15 15:42:45.798031,2023-01-15 15:44:05.710183,0 days 00:01:19.912152,0.016766562162237823,PCA,0.00701047297703212,linear,804,,71.0,164,l2,True,vertical 1x4,18,COMPLETE
185,185,0.8312589402928756,2023-01-15 15:43:41.532686,2023-01-15 15:44:51.907427,0 days 00:01:10.374741,0.0220358199335356,PCA,0.006834932518038304,linear,807,,66.0,165,l2,True,vertical 1x4,18,COMPLETE
186,186,0.8397063057206127,2023-01-15 15:44:05.807778,2023-01-15 15:45:25.280856,0 days 00:01:19.473078,0.021624995049196048,PCA,0.014024271726276145,linear,829,,75.0,152,l2,True,vertical 1x4,18,COMPLETE
187,187,0.8369858317862688,2023-01-15 15:44:51.989493,2023-01-15 15:46:11.870199,0 days 00:01:19.880706,0.02700868026745016,PCA,0.028640848120613804,linear,839,,73.0,175,l2,True,vertical 1x4,19,COMPLETE
188,188,0.8253451974818364,2023-01-15 15:45:25.380630,2023-01-15 15:46:31.184002,0 days 00:01:05.803372,0.026936933495892212,PCA,0.027975255432137677,linear,306,,69.0,151,l2,True,vertical 1x4,19,COMPLETE
189,189,0.2830567062248096,2023-01-15 15:46:11.971001,2023-01-15 15:47:29.617409,0 days 00:01:17.646408,0.021307139219247793,LDA,0.005350377119973415,linear,885,1.0,,153,l2,True,vertical 1x4,17,COMPLETE
190,190,0.29721771005687103,2023-01-15 15:46:31.291808,2023-01-15 15:48:04.234828,0 days 00:01:32.943020,75.23130926701637,LDA,0.0021627922217250612,linear,891,1.0,,157,power,True,vertical 1x4,17,COMPLETE
191,191,0.8376560979756453,2023-01-15 15:47:29.842997,2023-01-15 15:48:57.014672,0 days 00:01:27.171675,0.015033900033198266,PCA,0.0028001896383794815,linear,748,,76.0,198,power,True,vertical 1x4,19,COMPLETE
192,192,0.8349767135241422,2023-01-15 15:48:04.324181,2023-01-15 15:49:20.187658,0 days 00:01:15.863477,0.04516684379137976,PCA,0.015368044195918374,linear,829,,75.0,179,l2,True,vertical 1x4,18,COMPLETE
193,193,0.8451857214368262,2023-01-15 15:48:57.172003,2023-01-15 15:50:21.260334,0 days 00:01:24.088331,0.015477623814908503,PCA,0.0034810861245215615,linear,822,,79.0,146,power,True,vertical 1x4,19,COMPLETE
194,194,0.8379721009349155,2023-01-15 15:49:20.284177,2023-01-15 15:50:42.452323,0 days 00:01:22.168146,0.013720142730617862,PCA,0.0012533440230367515,linear,771,,79.0,147,power,True,vertical 1x4,19,COMPLETE
195,195,0.8424702956453973,2023-01-15 15:50:21.393075,2023-01-15 15:51:32.221272,0 days 00:01:10.828197,0.012815071216936357,PCA,0.0033794037704275863,linear,771,,71.0,146,power,True,vertical 1x4,19,COMPLETE
196,196,0.8410422486470235,2023-01-15 15:50:42.554522,2023-01-15 15:52:07.060765,0 days 00:01:24.506243,0.009346879686541886,PCA,0.0018062123667429042,linear,851,,79.0,144,power,True,vertical 1x4,19,COMPLETE
197,197,0.0,2023-01-15 15:51:32.313798,2023-01-15 15:52:06.967506,0 days 00:00:34.653708,0.010435824052649059,PCA,0.0013963330129263235,linear,768,,79.0,142,power,True,vertical 1x4,2,COMPLETE
198,198,0.8329620143269979,2023-01-15 15:52:07.059630,2023-01-15 15:53:34.175450,0 days 00:01:27.115820,0.007920909104433466,PCA,0.0018997565882505382,linear,819,,73.0,149,power,True,horizontal 3x1,19,COMPLETE
199,199,0.8364165393987506,2023-01-15 15:52:07.155238,2023-01-15 15:53:13.590326,0 days 00:01:06.435088,0.009216298379911333,PCA,0.001895232074692448,linear,819,,72.0,138,power,True,horizontal 3x1,19,COMPLETE
